Energy Prices Electric Power
https://www.eia.gov/outlooks/aeo/data/browser/#/?id=3-AEO2020&region=1-0&cases=ref2020~highogs~lowogs~hirencst~lorencst&start=2018&end=2050&f=A&linechart=~~~~~ref2020-d112119a.36-3-AEO2020.1-0~highogs-d112619a.36-3-AEO2020.1-0~lowogs-d112619a.36-3-AEO2020.1-0~hirencst-d112619a.36-3-AEO2020.1-0~lorencst-d120119a.36-3-AEO2020.1-0~ref2020-d112119a.37-3-AEO2020.1-0~highogs-d112619a.37-3-AEO2020.1-0~lowogs-d112619a.37-3-AEO2020.1-0~hirencst-d112619a.37-3-AEO2020.1-0~lorencst-d120119a.37-3-AEO2020.1-0~ref2020-d112119a.38-3-AEO2020.1-0~highogs-d112619a.38-3-AEO2020.1-0~lowogs-d112619a.38-3-AEO2020.1-0~hirencst-d112619a.38-3-AEO2020.1-0~lorencst-d120119a.38-3-AEO2020.1-0~ref2020-d112119a.39-3-AEO2020.1-0~highogs-d112619a.39-3-AEO2020.1-0~lowogs-d112619a.39-3-AEO2020.1-0~hirencst-d112619a.39-3-AEO2020.1-0~lorencst-d120119a.39-3-AEO2020.1-0~ref2020-d112119a.40-3-AEO2020.1-0~highogs-d112619a.40-3-AEO2020.1-0~lowogs-d112619a.40-3-AEO2020.1-0~hirencst-d112619a.40-3-AEO2020.1-0~lorencst-d120119a.40-3-AEO2020.1-0&map=highogs-d112619a.3-3-AEO2020.1-0&sourcekey=0
10:48:21 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Year,Distillate Fuel Oil: United States: Reference case 2019 $/MMBtu,Distillate Fuel Oil: United States: High oil and gas supply 2019 $/MMBtu,Distillate Fuel Oil: United States: Low oil and gas supply 2019 $/MMBtu,Distillate Fuel Oil: United States: High renewable cost 2019 $/MMBtu,Distillate Fuel Oil: United States: Low renewable cost 2019 $/MMBtu,Residual Fuel Oil: United States: Reference case 2019 $/MMBtu,Residual Fuel Oil: United States: High oil and gas supply 2019 $/MMBtu,Residual Fuel Oil: United States: Low oil and gas supply 2019 $/MMBtu,Residual Fuel Oil: United States: High renewable cost 2019 $/MMBtu,Residual Fuel Oil: United States: Low renewable cost 2019 $/MMBtu,Natural Gas: United States: Reference case 2019 $/MMBtu,Natural Gas: United States: High oil and gas supply 2019 $/MMBtu,Natural Gas: United States: Low oil and gas supply 2019 $/MMBtu,Natural Gas: United States: High renewable cost 2019 $/MMBtu,Natural Gas: United States: Low renewable cost 2019 $/MMBtu,Steam Coal: United States: Reference case 2019 $/MMBtu,Steam Coal: United States: High oil and gas supply 2019 $/MMBtu,Steam Coal: United States: Low oil and gas supply 2019 $/MMBtu,Steam Coal: United States: High renewable cost 2019 $/MMBtu,Steam Coal: United States: Low renewable cost 2019 $/MMBtu,Uranium: United States: Reference case 2019 $/MMBtu,Uranium: United States: High oil and gas supply 2019 $/MMBtu,Uranium: United States: Low oil and gas supply 2019 $/MMBtu,Uranium: United States: High renewable cost 2019 $/MMBtu,Uranium: United States: Low renewable cost 2019 $/MMBtu
2050,23.534092,20.857304,25.674837,23.395071,23.448185,17.967491,16.005013,19.269781,17.838327,17.768475,4.065257,2.946049,6.815434,4.569173,3.765805,1.950768,1.770014,2.135193,1.993743,1.900254,0.730359,0.730359,0.730359,0.730359,0.730359
2049,23.37958,20.802324,25.475716,23.333319,23.408504,17.715216,15.944413,19.067488,17.567516,17.561735,4.008594,2.957957,6.635533,4.492743,3.770622,1.951243,1.775391,2.139726,1.995473,1.905602,0.728278,0.728278,0.728278,0.728278,0.728278
2048,23.1485,20.670296,25.238228,23.13162,23.105415,17.489197,15.820863,18.876455,17.382282,17.425097,3.985636,2.962881,6.494937,4.475214,3.759528,1.95353,1.781481,2.141493,1.99644,1.906086,0.726197,0.726197,0.726197,0.726197,0.726197
2047,22.802755,20.542957,24.972673,22.60531,22.78791,17.251614,15.690196,18.624271,17.112564,17.13316,3.949467,2.97144,6.414066,4.418,3.721072,1.954197,1.787817,2.138843,1.994169,1.909677,0.724117,0.724117,0.724116,0.724116,0.724116
2046,22.440077,20.420137,24.668081,22.27136,22.373589,17.097082,15.567964,18.359867,16.938253,16.914774,3.894858,2.979458,6.256746,4.373915,3.671405,1.952267,1.791068,2.134697,1.990556,1.913153,0.722036,0.722036,0.722036,0.722036,0.722036
2045,22.352627,20.262032,24.385475,22.177876,22.134478,16.844774,15.427881,18.182121,16.726845,16.768095,3.851938,2.980496,6.107789,4.325029,3.659886,1.954712,1.794016,2.133334,1.994214,1.913793,0.719955,0.719955,0.719955,0.719955,0.719955
2044,21.953362,20.087189,24.218611,21.810673,21.795427,16.946861,15.510894,18.036119,16.783783,16.779758,3.83895,2.990696,6.013124,4.298796,3.640005,1.952097,1.799877,2.133608,1.988114,1.913456,0.717874,0.717874,0.717874,0.717874,0.717874
2043,21.756472,20.008469,24.020668,21.516933,21.576508,16.96644,15.565669,18.174913,16.787399,16.771799,3.822264,3.012399,5.808789,4.245262,3.622445,1.951683,1.805319,2.129798,1.983891,1.915194,0.715793,0.715793,0.715793,0.715793,0.715793
2042,21.605209,19.848219,23.740398,21.416765,21.416161,16.934118,15.561526,18.146067,16.780895,16.744297,3.81251,3.044795,5.775829,4.201471,3.603924,1.949921,1.807395,2.123097,1.979997,1.914426,0.713712,0.713713,0.713712,0.713713,0.713712
2041,21.227438,19.526464,23.372944,21.000965,21.101328,16.763474,15.383879,17.855724,16.551641,16.610729,3.803203,3.058433,5.733726,4.163233,3.599597,1.947827,1.810656,2.120148,1.976202,1.911776,0.711632,0.711632,0.711632,0.711632,0.711632
2040,21.028313,19.354296,22.9874,20.787046,20.823366,16.653212,15.293174,17.828995,16.478498,16.449589,3.807131,3.066756,5.707635,4.161848,3.609743,1.947999,1.81792,2.117502,1.977827,1.912133,0.710591,0.710591,0.710591,0.710591,0.710591
