Year,Scenario,"Biomass Price",Resource,State,County,"USDA Region","County Fips Code",Production,"Production Unit","Production Density","Harvested Acres",Yield,"Yield Unit","Land Area","Resource Category","Resource Form","Resource Type","Land Source",Class,Section,"Forest Region","Diameter Class","Operation Type",Owner,"supply Class",Version
2030,"3% yield inc.",60,Switchgrass,Texas,"Bosque County","Southern Plains",48035,10734,dt,10.92,2345,4.58,dt/ac,982.97998,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Bosque County","Southern Plains",48035,604548,dt,615.02,105205,5.75,dt/ac,982.97998,Agriculture,Herbaceous,Energy,Pasture,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Bowie County","Southern Plains",48037,2836,dt,3.2,325,8.72,dt/ac,885.01001,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Bowie County","Southern Plains",48037,288996,dt,326.55,33776,8.56,dt/ac,885.01001,Agriculture,Herbaceous,Energy,Pasture,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Brazoria County","Southern Plains",48039,44723,dt,32.94,5893,7.59,dt/ac,1357.7,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Brazoria County","Southern Plains",48039,946097,dt,696.84,99363,9.52,dt/ac,1357.7,Agriculture,Herbaceous,Energy,Pasture,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Brazos County","Southern Plains",48041,12541,dt,21.42,1955,6.41,dt/ac,585.45001,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Brazos County","Southern Plains",48041,364263,dt,622.19,45540,8,dt/ac,585.45001,Agriculture,Herbaceous,Energy,Pasture,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Brewster County","Southern Plains",48043,2,dt,0,1,2.23,dt/ac,6183.73,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Briscoe County","Southern Plains",48045,28285,dt,31.43,8959,3.16,dt/ac,900,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Brooks County","Southern Plains",48047,442,dt,0.47,110,4.01,dt/ac,943.35999,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Brown County","Southern Plains",48049,7535,dt,7.98,2080,3.62,dt/ac,944.42999,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Brown County","Southern Plains",48049,341287,dt,361.37,69049,4.94,dt/ac,944.42999,Agriculture,Herbaceous,Energy,Pasture,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Burleson County","Southern Plains",48051,22784,dt,34.57,3466,6.57,dt/ac,659.03003,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Burleson County","Southern Plains",48051,359535,dt,545.55,43656,8.24,dt/ac,659.03003,Agriculture,Herbaceous,Energy,Pasture,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Burnet County","Southern Plains",48053,1786,dt,1.8,437,4.09,dt/ac,994.26001,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Caldwell County","Southern Plains",48055,10241,dt,18.78,2350,4.36,dt/ac,545.26001,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Caldwell County","Southern Plains",48055,67332,dt,123.49,13873,4.85,dt/ac,545.26001,Agriculture,Herbaceous,Energy,Pasture,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Calhoun County","Southern Plains",48057,39739,dt,78.41,5924,6.71,dt/ac,506.84,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Calhoun County","Southern Plains",48057,222668,dt,439.33,26561,8.38,dt/ac,506.84,Agriculture,Herbaceous,Energy,Pasture,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Callahan County","Southern Plains",48059,12641,dt,14.06,3953,3.2,dt/ac,899.37,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Callahan County","Southern Plains",48059,471838,dt,524.63,110915,4.25,dt/ac,899.37,Agriculture,Herbaceous,Energy,Pasture,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Cameron County","Southern Plains",48061,4843,dt,5.44,1809,2.68,dt/ac,890.91998,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Cameron County","Southern Plains",48061,39099,dt,43.89,8736,4.48,dt/ac,890.91998,Agriculture,Herbaceous,Energy,Pasture,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Camp County","Southern Plains",48063,648,dt,3.31,115,5.64,dt/ac,195.83,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Camp County","Southern Plains",48063,68848,dt,351.57,9720,7.08,dt/ac,195.83,Agriculture,Herbaceous,Energy,Pasture,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Carson County","Southern Plains",48065,58100,dt,63.14,18132,3.2,dt/ac,920.21997,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Cass County","Southern Plains",48067,217,dt,0.23,38,5.71,dt/ac,936.96002,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Cass County","Southern Plains",48067,121884,dt,130.08,17005,7.17,dt/ac,936.96002,Agriculture,Herbaceous,Energy,Pasture,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Castro County","Southern Plains",48069,108343,dt,121.13,26176,4.14,dt/ac,894.42999,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Chambers County","Southern Plains",48071,14951,dt,25.04,2241,6.67,dt/ac,597.14001,Agriculture,Herbaceous,Energy,Crop,HERB,PAGR,null,null,null,null,null,null
2030,"3% yield inc.",60,Switchgrass,Texas,"Chambers County","Southern Plains",48071,302459,dt,506.51,32260,9.38,dt/ac,597.14001,Agriculture,Herbaceous,Energy,Pasture,HERB,PAGR,null,null,null,null,null,null
