year,hour,state,load_total
2020,1,TX,33319.945
2020,2,TX,32743.324
2020,3,TX,32077.896
2020,4,TX,31693.484
2020,5,TX,31730.607
2020,6,TX,32278.789
2020,7,TX,33294.398
2020,8,TX,34070.09
2020,9,TX,35080.063
2020,10,TX,35980.258
2020,11,TX,36235.082
2020,12,TX,36161.289
2020,13,TX,35943.91
2020,14,TX,35431.582
2020,15,TX,34817.164
2020,16,TX,34544.844
2020,17,TX,34753.688
2020,18,TX,36955.914
2020,19,TX,40397.379
2020,20,TX,40936.77
2020,21,TX,40895.191
2020,22,TX,40538.988
2020,23,TX,39349.152
2020,24,TX,37764.883
2020,25,TX,36528.77
2020,26,TX,36091.555
2020,27,TX,36106.75
2020,28,TX,36565.578
2020,29,TX,37705.973
2020,30,TX,39972.512
2020,31,TX,43003.375
2020,32,TX,44681.988
2020,33,TX,44971.332
2020,34,TX,44903.258
2020,35,TX,44498.391
2020,36,TX,43396.047
2020,37,TX,42148.16
2020,38,TX,40753.449
2020,39,TX,39603.836
2020,40,TX,39010.66
2020,41,TX,39342.859
2020,42,TX,42151.629
2020,43,TX,46108.16
2020,44,TX,46946.465
2020,45,TX,47153.387
2020,46,TX,46482.738
2020,47,TX,44508.777
2020,48,TX,42444.941
2020,49,TX,41280.375
2020,50,TX,41005.965
2020,51,TX,41295.191
2020,52,TX,42120.324
2020,53,TX,43899.855
2020,54,TX,47774.82
2020,55,TX,53222.719
2020,56,TX,54903.129
2020,57,TX,52899.508
2020,58,TX,50366.563
2020,59,TX,48122.363
2020,60,TX,46019.895
2020,61,TX,44202.938
2020,62,TX,42778.746
2020,63,TX,41589.863
2020,64,TX,40941.457
2020,65,TX,41167.898
2020,66,TX,43785.836
2020,67,TX,47644.348
2020,68,TX,48258.207
2020,69,TX,48117.047
2020,70,TX,46782.141
2020,71,TX,44036.395
2020,72,TX,41195.867
2020,73,TX,39471.848
2020,74,TX,38759.199
2020,75,TX,38551.723
2020,76,TX,38849.145
2020,77,TX,40185.504
2020,78,TX,43534.785
2020,79,TX,48562.961
2020,80,TX,49898.414
2020,81,TX,47971.121
2020,82,TX,46062.977
2020,83,TX,44402.383
2020,84,TX,42877.977
2020,85,TX,41694.305
2020,86,TX,40872.469
2020,87,TX,40193.074
2020,88,TX,39686.414
2020,89,TX,39816.406
2020,90,TX,41561.355
2020,91,TX,44556.148
2020,92,TX,44731.871
2020,93,TX,44343.676
2020,94,TX,43030.887
2020,95,TX,40570.371
2020,96,TX,37947.496
2020,97,TX,36392.895
2020,98,TX,35844.738
2020,99,TX,35720.016
2020,100,TX,36103.598
2020,101,TX,37464.973
2020,102,TX,40867.73
2020,103,TX,46047.047
2020,104,TX,47626.211
2020,105,TX,45970.441
2020,106,TX,44452.969
2020,107,TX,43224.797
2020,108,TX,42106.199
2020,109,TX,41161.453
2020,110,TX,40559.516
2020,111,TX,39971.727
2020,112,TX,39571.742
2020,113,TX,39550.164
2020,114,TX,41003.613
2020,115,TX,43732.629
2020,116,TX,43787.203
2020,117,TX,43313.453
2020,118,TX,41747.578
2020,119,TX,39163.566
2020,120,TX,36479.93
2020,121,TX,34686.223
2020,122,TX,33730.863
2020,123,TX,33324.672
2020,124,TX,33480.961
2020,125,TX,34402.496
2020,126,TX,37121.813
2020,127,TX,41692.313
2020,128,TX,43305.199
2020,129,TX,42105.289
2020,130,TX,41416.777
