gid,scenario,latitude,longitude,demand_ammonia_kg,demand_biofuel_kg,demand_ldv_kg,demand_metals_kg,demand_methanol_kg,demand_mhdv_kg,demand_ng_kg,demand_refining_kg,demand_storage_kg,demand_synfuel_kg,supply_lte_kg,supply_nuclearhte_kg,supply_smr_kg,total_demand_kg,total_supply_kg
1,Current R&D,25.9656549,-97.47349439,0,0,389251.5356,0,0,173000.6825,0,0,0,0,0,0,0,562252.218,0
2,Current R&D,26.16726259,-97.70732103,0,0,156775.3374,0,0,69677.92773,0,0,0,0,0,0,0,226453.2651,0
3,Current R&D,26.17698481,-80.23198009,0,0,205404078.8,0,0,91290701.69,0,0,0,0,0,0,0,296694780.5,0
4,Current R&D,26.21127837,-81.7453499,0,0,10956815.95,0,0,4869695.978,0,0,0,0,0,0,0,15826511.93,0
5,Current R&D,26.24034618,-98.17500675,0,0,2412027.923,0,0,1072012.41,0,0,0,0,0,0,0,3484040.333,0
6,Current R&D,26.37507016,-98.85081967,0,0,153558.6105,0,0,68248.27135,0,0,0,0,0,0,0,221806.8819,0
7,Current R&D,26.59995104,-81.84186623,0,0,7097588.281,0,0,3154483.68,0,0,0,0,0,0,0,10252071.96,0
8,Current R&D,27.00692437,-82.12386758,0,0,644574.3804,0,0,286477.5024,0,0,0,0,0,0,0,931051.8828,0
9,Current R&D,27.2650432,-80.3026657,0,0,17168034.96,0,0,7630237.76,0,0,0,0,0,0,0,24798272.72,0
10,Current R&D,27.30239188,-82.47260729,0,0,7694551.624,0,0,3419800.722,0,0,0,0,0,0,0,11114352.35,0
11,Current R&D,27.51972229,-81.47494742,0,0,73203.21342,0,0,32534.76152,0,0,0,0,0,0,0,105737.9749,0
12,Current R&D,27.53591299,-99.47836772,0,0,813214.4193,0,0,361428.6308,0,0,0,0,0,0,0,1174643.05,0
13,Current R&D,27.66292592,-80.4204576,0,0,478075.9898,0,0,212478.2177,0,0,0,0,0,0,0,690554.2076,0
