gid,scenario,latitude,longitude,demand_ammonia_kg,demand_biofuel_kg,demand_ldv_kg,demand_metals_kg,demand_methanol_kg,demand_mhdv_kg,demand_ng_kg,demand_refining_kg,demand_storage_kg,demand_synfuel_kg,supply_lte_kg,supply_nuclearhte_kg,supply_smr_kg
1,Current R&D,25.9656549,-97.47349439,0,0,389251535.6,0,0,173000682.5,0,0,0,0,0,0,0
2,Current R&D,26.16726259,-97.70732103,0,0,156775337.4,0,0,69677927.73,0,0,0,0,0,0,0
3,Current R&D,26.17698481,-80.23198009,0,0,2.05404E+11,0,0,91290701690,0,0,0,0,0,0,0
4,Current R&D,26.21127837,-81.7453499,0,0,10956815951,0,0,4869695978,0,0,0,0,0,0,0
5,Current R&D,26.24034618,-98.17500675,0,0,2412027923,0,0,1072012410,0,0,0,0,0,0,0
6,Current R&D,26.37507016,-98.85081967,0,0,153558610.5,0,0,68248271.35,0,0,0,0,0,0,0
7,Current R&D,26.59995104,-81.84186623,0,0,7097588281,0,0,3154483680,0,0,0,0,0,0,0
8,Current R&D,27.00692437,-82.12386758,0,0,644574380.4,0,0,286477502.4,0,0,0,0,0,0,0
9,Current R&D,27.2650432,-80.3026657,0,0,17168034959,0,0,7630237760,0,0,0,0,0,0,0
10,Current R&D,27.30239188,-82.47260729,0,0,7694551624,0,0,3419800722,0,0,0,0,0,0,0
11,Current R&D,27.51972229,-81.47494742,0,0,73203213.42,0,0,32534761.52,0,0,0,0,0,0,0
12,Current R&D,27.53591299,-99.47836772,0,0,813214419.3,0,0,361428630.8,0,0,0,0,0,0,0
13,Current R&D,27.66292592,-80.4204576,0,0,478075989.8,0,0,212478217.7,0,0,0,0,0,0,0
14,Current R&D,27.74616032,-97.41376367,0,61469931499,1014476926,0,0,450878634,0,3.3418E+11,0,0,0,0,1.04714E+12
15,Current R&D,28.00711679,-82.51081464,0,0,45900197406,0,0,20400087736,0,0,0,0,0,0,0
16,Current R&D,28.02209498,-81.95712167,0,0,385639477.3,0,0,171395323.2,0,0,0,0,0,0,0
17,Current R&D,28.04315553,-81.70354377,0,0,130360652.9,0,0,57938067.96,0,0,0,0,0,0,0
18,Current R&D,28.18882919,-80.67420689,0,0,4618818561,0,0,2052808249,0,0,0,0,0,0,0
19,Current R&D,28.28694287,-82.19945298,0,0,30833103.92,0,0,13703601.74,0,0,0,0,0,0,0
20,Current R&D,28.30082136,-81.38341164,0,0,5620028679,0,0,2497790524,0,0,0,0,0,0,0
21,Current R&D,28.33190385,-81.65426904,0,0,98120632.78,0,0,43609170.12,0,0,0,0,0,0,0
22,Current R&D,28.4659,-98.1782,0,61469931499,0,0,0,0,0,35055189452,0,0,0,0,25868178597
23,Current R&D,28.49178417,-82.52346507,0,0,68610707.32,0,0,30493647.7,0,0,0,0,0,0,0
24,Current R&D,28.58381643,-81.41199908,0,0,21723215188,0,0,9654762306,0,0,0,0,0,0,0
25,Current R&D,28.60251249,-80.83514981,0,0,16634427.33,0,0,7393078.812,0,0,0,0,0,0,0
