lat,lon,solar_cf,wind_cf
24.5,-125,0.18194969,0.27256882
24.5,-124.375,0.18317932,0.2673033
24.5,-123.75,0.18527599,0.26332122
24.5,-123.125,0.18861033,0.258829
24.5,-122.5,0.19062991,0.25476688
24.5,-121.875,0.19383027,0.25061518
24.5,-121.25,0.19628455,0.24642889
24.5,-120.625,0.1977533,0.24378082
24.5,-120,0.1997658,0.24240416
24.5,-119.375,0.20227681,0.24288344
24.5,-118.75,0.20421101,0.24369493
24.5,-118.125,0.20506938,0.24332353
24.5,-117.5,0.20642315,0.24337679
24.5,-116.875,0.21018289,0.24503201
24.5,-116.25,0.21367413,0.24795279
24.5,-115.625,0.21600302,0.25251558
24.5,-115,0.21739101,0.25544998
24.5,-114.375,0.21783581,0.25606337
24.5,-113.75,0.21742137,0.2513653
24.5,-113.125,0.21584249,0.23929153
24.5,-112.5,0.21435922,0.22697447
24.5,-111.875,0.21066618,0.20496334
24.5,-111.25,0.20519234,0.13847648
24.5,-110.625,0.20121363,0.09783942
24.5,-110,0.19932753,0.09637082
24.5,-109.375,0.1965458,0.11908795
24.5,-108.75,0.19427903,0.14316688
24.5,-108.125,0.19146802,0.13880108
24.5,-107.5,0.18901499,0.083185814
24.5,-106.875,0.18840958,0.042891458
24.5,-106.25,0.1895245,0.007555017
24.5,-105.625,0.19731426,0.02718769
24.5,-105,0.20647715,0.094892405
24.5,-104.375,0.20955087,0.13984784
24.5,-103.75,0.21074268,0.17291972
24.5,-103.125,0.21126357,0.17094113
24.5,-102.5,0.21421695,0.1910166
24.5,-101.875,0.21664071,0.1745383
24.5,-101.25,0.21684793,0.13805349
24.5,-100.625,0.21610257,0.11721473
24.5,-100,0.20947443,0.103137836
24.5,-99.375,0.2035175,0.13466755
24.5,-98.75,0.19968298,0.2666764
24.5,-98.125,0.19488624,0.3171439
24.5,-97.5,0.1874603,0.39485884
24.5,-96.875,0.18015638,0.34569424
24.5,-96.25,0.17747834,0.31453985
24.5,-95.625,0.17742696,0.29818192
24.5,-95,0.17770208,0.29109526
24.5,-94.375,0.17928769,0.29090336
24.5,-93.75,0.17981304,0.29154664
24.5,-93.125,0.18161944,0.29239663
24.5,-92.5,0.18318401,0.29128328
24.5,-91.875,0.1834814,0.29169574
24.5,-91.25,0.18234651,0.29102054
24.5,-90.625,0.1818366,0.28861192
24.5,-90,0.18153106,0.2838553
24.5,-89.375,0.18196422,0.27796564
24.5,-88.75,0.18180817,0.2751834
24.5,-88.125,0.17977229,0.2793335
24.5,-87.5,0.17817725,0.2856045
24.5,-86.875,0.17814575,0.29134247
24.5,-86.25,0.17679176,0.2984733
24.5,-85.625,0.17461592,0.30605543
24.5,-85,0.17213222,0.3080358
24.5,-84.375,0.17142175,0.3028564
24.5,-83.75,0.17004222,0.294711
24.5,-83.125,0.16958965,0.28434366
24.5,-82.5,0.17197634,0.27393213
24.5,-81.875,0.17309318,0.2695042
24.5,-81.25,0.17285179,0.26977387
24.5,-80.625,0.1726755,0.27032098
24.5,-80,0.17336434,0.27295396
24.5,-79.375,0.17395443,0.2738408
24.5,-78.75,0.1744005,0.2694501
24.5,-78.125,0.1738818,0.28401518
24.5,-77.5,0.17375815,0.29312935
24.5,-76.875,0.17435351,0.29376504
24.5,-76.25,0.17439692,0.30241692
24.5,-75.625,0.17590135,0.30946207
24.5,-75,0.17450929,0.3109263
24.5,-74.375,0.17540376,0.31262168
24.5,-73.75,0.17434688,0.31235003
24.5,-73.125,0.17354828,0.31164268
24.5,-72.5,0.17239255,0.31132683
24.5,-71.875,0.1731325,0.31221017
24.5,-71.25,0.17312938,0.25140226
24.5,-70.625,0.17460246,0.24938065
24.5,-70,0.17450641,0.24716674
24.5,-69.375,0.17527352,0.24469173
24.5,-68.75,0.17487445,0.24187319
24.5,-68.125,0.17402837,0.23979542
24.5,-67.5,0.17493862,0.23730263
25,-125,0.12947394,0.29455736
25,-124.375,0.1826575,0.27318585
25,-123.75,0.1843162,0.26820403
25,-123.125,0.1871297,0.264377
25,-122.5,0.19018124,0.2611767
25,-121.875,0.19301648,0.25819772
25,-121.25,0.19550572,0.2547874
25,-120.625,0.19828077,0.25069696
25,-120,0.20056584,0.24726562
25,-119.375,0.2021329,0.2452815
25,-118.75,0.2040428,0.24565645
25,-118.125,0.20542015,0.24774925
25,-117.5,0.20628141,0.24922672
25,-116.875,0.20667021,0.2506
25,-116.25,0.20866314,0.25277236
25,-115.625,0.21197309,0.2560999
25,-115,0.2148959,0.261658
25,-114.375,0.21664348,0.26750076
25,-113.75,0.21767026,0.2697041
25,-113.125,0.21749616,0.2678275
25,-112.5,0.2163683,0.2520175
25,-111.875,0.21475008,0.23697236
25,-111.25,0.20778453,0.1495457
25,-110.625,0.20183125,0.1149504
25,-110,0.19998066,0.10289044
25,-109.375,0.19849358,0.114245966
25,-108.75,0.19636244,0.13168271
25,-108.125,0.19410884,0.14595322
25,-107.5,0.19022729,0.112766765
25,-106.875,0.18968888,0.05830734
25,-106.25,0.19228534,0.034184825
25,-105.625,0.19513376,0.014981769
25,-105,0.20418568,0.06689968
25,-104.375,0.2107982,0.11553704
25,-103.75,0.20996876,0.13040107
25,-103.125,0.20892423,0.1384519
25,-102.5,0.21054403,0.12565242
25,-101.875,0.21150953,0.15128973
25,-101.25,0.21345936,0.17224261
25,-100.625,0.2145778,0.14468554
25,-100,0.21214773,0.089341596
25,-99.375,0.2046809,0.074200355
25,-98.75,0.20052427,0.19083667
25,-98.125,0.20066805,0.3260968
25,-97.5,0.19368918,0.33647513
25,-96.875,0.18843256,0.39685687
25,-96.25,0.1796356,0.36555913
25,-95.625,0.17849799,0.32957438
25,-95,0.17779627,0.31341112
25,-94.375,0.1777161,0.3014694
25,-93.75,0.17890576,0.2972604
25,-93.125,0.17951746,0.29630402
25,-92.5,0.18034926,0.2928611
25,-91.875,0.18191148,0.28983167
25,-91.25,0.18224299,0.2867121
25,-90.625,0.18148942,0.2854393
25,-90,0.1812526,0.2818615
25,-89.375,0.18068926,0.27631176
25,-88.75,0.18070629,0.27050287
25,-88.125,0.1813727,0.26919043
25,-87.5,0.18124804,0.27453735
25,-86.875,0.17963088,0.27863932
25,-86.25,0.17844808,0.28394836
25,-85.625,0.17703192,0.29021662
25,-85,0.17437336,0.29450697
25,-84.375,0.1716157,0.29132244
25,-83.75,0.17117846,0.28131253
25,-83.125,0.17012265,0.26849023
25,-82.5,0.17023408,0.25324926
25,-81.875,0.17206314,0.23782188
25,-81.25,0.17228101,0.23229022
25,-80.625,0.17198242,0.23434845
25,-80,0.17209463,0.24484682
25,-79.375,0.17209782,0.25346428
25,-78.75,0.17272392,0.25847203
25,-78.125,0.17309198,0.25886133
25,-77.5,0.17309585,0.27286172
25,-76.875,0.17342107,0.28051713
25,-76.25,0.1733466,0.28548056
25,-75.625,0.17362002,0.29559913
25,-75,0.17358366,0.30071607
25,-74.375,0.17366196,0.30404478
25,-73.75,0.17436543,0.30672184
25,-73.125,0.17418316,0.3082267
25,-72.5,0.17325497,0.3072044
25,-71.875,0.17205475,0.30577224
25,-71.25,0.17151462,0.24662016
25,-70.625,0.17117466,0.24610867
25,-70,0.17276202,0.24448755
25,-69.375,0.17357808,0.24244672
25,-68.75,0.17403902,0.24041091
25,-68.125,0.1737577,0.23780702
25,-67.5,0.17409724,0.23578858
25.5,-125,0.12986141,0.2891358
25.5,-124.375,0.13070254,0.28786334
25.5,-123.75,0.18447725,0.27544162
25.5,-123.125,0.18577906,0.27132824
25.5,-122.5,0.18804684,0.26768407
25.5,-121.875,0.1907966,0.26490763
25.5,-121.25,0.19444866,0.2624295
25.5,-120.625,0.19659425,0.25960293
25.5,-120,0.19920544,0.25584093
25.5,-119.375,0.20164111,0.25288868
25.5,-118.75,0.20373973,0.25105757
25.5,-118.125,0.20527458,0.25013393
25.5,-117.5,0.20684026,0.252906
25.5,-116.875,0.20750387,0.25596973
25.5,-116.25,0.20773177,0.25946283
25.5,-115.625,0.20898928,0.26353487
25.5,-115,0.21131456,0.26870516
25.5,-114.375,0.2139865,0.27520356
25.5,-113.75,0.21640748,0.28360832
25.5,-113.125,0.21761845,0.2876949
25.5,-112.5,0.21767323,0.2879007
25.5,-111.875,0.21650489,0.26536575
25.5,-111.25,0.214665,0.22434984
25.5,-110.625,0.20622244,0.11215659
25.5,-110,0.20063154,0.10342995
25.5,-109.375,0.2000573,0.12072903
25.5,-108.75,0.19719793,0.12983909
25.5,-108.125,0.19513531,0.13797553
25.5,-107.5,0.1926506,0.13059498
25.5,-106.875,0.19015875,0.0814466
25.5,-106.25,0.19211087,0.038538568
25.5,-105.625,0.19332284,0.02179364
25.5,-105,0.20073245,0.040987663
25.5,-104.375,0.20788327,0.104344286
25.5,-103.75,0.21046707,0.12536643
25.5,-103.125,0.20985866,0.12552567
25.5,-102.5,0.20883076,0.1068986
25.5,-101.875,0.20990479,0.11943773
25.5,-101.25,0.21355619,0.15579922
25.5,-100.625,0.21167906,0.20122223
25.5,-100,0.21270548,0.17819606
25.5,-99.375,0.20888394,0.11349694
25.5,-98.75,0.2027296,0.11356595
25.5,-98.125,0.19937016,0.26213053
25.5,-97.5,0.19770889,0.3287641
25.5,-96.875,0.19215025,0.35760865
25.5,-96.25,0.18783434,0.38542697
25.5,-95.625,0.17855367,0.3761102
25.5,-95,0.17767973,0.3429848
25.5,-94.375,0.17673764,0.32232046
25.5,-93.75,0.17657971,0.30884486
25.5,-93.125,0.17789048,0.30137724
25.5,-92.5,0.17955545,0.29765868
25.5,-91.875,0.17969337,0.29249027
25.5,-91.25,0.18052259,0.28704613
25.5,-90.625,0.18061292,0.282156
25.5,-90,0.18069962,0.27997267
25.5,-89.375,0.18100552,0.27631512
25.5,-88.75,0.18134044,0.27168477
25.5,-88.125,0.18123503,0.26735166
25.5,-87.5,0.18083489,0.26690403
25.5,-86.875,0.18066269,0.27017164
25.5,-86.25,0.17844151,0.27266106
25.5,-85.625,0.17786452,0.27634805
25.5,-85,0.17713165,0.2809045
25.5,-84.375,0.17517674,0.28244963
25.5,-83.75,0.17316374,0.2755138
25.5,-83.125,0.17247361,0.26353893
25.5,-82.5,0.17089811,0.2461837
25.5,-81.875,0.17099117,0.22611415
25.5,-81.25,0.1722691,0.2096045
25.5,-80.625,0.17222655,0.20300978
25.5,-80,0.17075081,0.2056104
25.5,-79.375,0.17077458,0.23199323
25.5,-78.75,0.1707605,0.24587859
25.5,-78.125,0.17099565,0.25147158
25.5,-77.5,0.17156093,0.25261328
25.5,-76.875,0.17229696,0.26702353
25.5,-76.25,0.173169,0.2762468
25.5,-75.625,0.17313614,0.28279552
25.5,-75,0.1719975,0.2899209
25.5,-74.375,0.1725447,0.29348344
25.5,-73.75,0.17300525,0.29722896
25.5,-73.125,0.17283617,0.3020215
25.5,-72.5,0.17306529,0.30404896
25.5,-71.875,0.17253146,0.30293933
25.5,-71.25,0.1712935,0.24295358
25.5,-70.625,0.17050217,0.24211548
25.5,-70,0.16996196,0.24279779
25.5,-69.375,0.17107083,0.24136043
25.5,-68.75,0.17224278,0.2390652
25.5,-68.125,0.17270371,0.23685038
25.5,-67.5,0.17246668,0.23489054
26,-125,0.12982705,0.2872943
26,-124.375,0.1300229,0.28527793
26,-123.75,0.13109398,0.28387251
26,-123.125,0.18445069,0.2795439
26,-122.5,0.18744119,0.2757907
26,-121.875,0.18791988,0.27246737
26,-121.25,0.19062616,0.26920977
26,-120.625,0.19446412,0.26640952
26,-120,0.19742565,0.264495
26,-119.375,0.20017378,0.26296127
26,-118.75,0.20270534,0.26183665
26,-118.125,0.20405994,0.2604074
26,-117.5,0.20628254,0.25802323
26,-116.875,0.20800436,0.2597015
26,-116.25,0.20877348,0.26308754
26,-115.625,0.2084472,0.26708907
26,-115,0.20897107,0.2722393
26,-114.375,0.21101123,0.27766287
26,-113.75,0.21314454,0.2863226
26,-113.125,0.21712282,0.29912508
26,-112.5,0.21750633,0.30620757
26,-111.875,0.21751112,0.30212182
26,-111.25,0.2162697,0.25840884
26,-110.625,0.21312323,0.16581027
26,-110,0.20511986,0.10688013
26,-109.375,0.20103239,0.118955486
26,-108.75,0.1984763,0.13618894
26,-108.125,0.19665001,0.14238612
26,-107.5,0.19397904,0.13001177
26,-106.875,0.1909673,0.095042326
26,-106.25,0.19193465,0.06264123
26,-105.625,0.19209193,0.02976363
26,-105,0.19820894,0.0316582
26,-104.375,0.2054194,0.07524251
26,-103.75,0.2107615,0.13544531
26,-103.125,0.21039684,0.1506825
26,-102.5,0.21058853,0.14908095
26,-101.875,0.21010488,0.11620659
26,-101.25,0.20993137,0.14413239
26,-100.625,0.21055643,0.1937363
26,-100,0.21004537,0.20185547
26,-99.375,0.2072838,0.18160929
26,-98.75,0.20429489,0.14594308
26,-98.125,0.19883423,0.19648112
26,-97.5,0.1978759,0.30434826
26,-96.875,0.19591337,0.35785422
26,-96.25,0.19112602,0.34772152
26,-95.625,0.18536031,0.35699242
26,-95,0.1797624,0.38514626
26,-94.375,0.17550541,0.3523723
26,-93.75,0.17527989,0.32626998
26,-93.125,0.17611332,0.3118432
26,-92.5,0.17733787,0.30240715
26,-91.875,0.1787346,0.29581538
26,-91.25,0.17852852,0.28976178
26,-90.625,0.17925642,0.28236267
26,-90,0.17910653,0.276363
26,-89.375,0.17941353,0.27333033
26,-88.75,0.17985816,0.2705322
26,-88.125,0.18040709,0.26688161
26,-87.5,0.17964378,0.26433006
26,-86.875,0.17908335,0.2656099
26,-86.25,0.17894618,0.26708022
26,-85.625,0.17728272,0.2686087
26,-85,0.17661804,0.27084655
26,-84.375,0.17637931,0.273023
26,-83.75,0.17545457,0.27209276
26,-83.125,0.17488332,0.26404366
26,-82.5,0.17369425,0.2507736
26,-81.875,0.17274246,0.23166034
26,-81.25,0.1726215,0.2126449
26,-80.625,0.17267805,0.19800088
26,-80,0.17097619,0.18281052
26,-79.375,0.16855001,0.17713442
26,-78.75,0.1678859,0.21054596
26,-78.125,0.16824493,0.24328575
26,-77.5,0.1692261,0.25581202
26,-76.875,0.17081976,0.260397
26,-76.25,0.17170589,0.27205467
26,-75.625,0.17231171,0.2806966
26,-75,0.17119592,0.290012
26,-74.375,0.1710546,0.2917561
26,-73.75,0.17233852,0.29319686
26,-73.125,0.173136,0.29514998
26,-72.5,0.17251018,0.29734462
26,-71.875,0.17224853,0.29847923
26,-71.25,0.17214848,0.24153225
26,-70.625,0.17136428,0.239363
26,-70,0.17026186,0.23918413
26,-69.375,0.16912712,0.24012098
26,-68.75,0.16914327,0.23963049
26,-68.125,0.16969912,0.23785654
26,-67.5,0.17153703,0.23536642
26.5,-125,0.12951653,0.28662634
26.5,-124.375,0.12996201,0.28592014
26.5,-123.75,0.13095865,0.28418365
26.5,-123.125,0.13207033,0.2820042
26.5,-122.5,0.18625759,0.28465962
26.5,-121.875,0.18853672,0.28129023
26.5,-121.25,0.18953088,0.27824464
26.5,-120.625,0.19167401,0.27531603
26.5,-120,0.19413821,0.27179012
26.5,-119.375,0.19748373,0.2708362
26.5,-118.75,0.20038769,0.27180582
26.5,-118.125,0.20346816,0.2718042
26.5,-117.5,0.20596382,0.2719577
26.5,-116.875,0.20670597,0.2698862
26.5,-116.25,0.20807783,0.27043834
