PlantType,Parameter,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Solar PV,CAPEX(2012$/MW),1233104.636,1179300.245,1125495.854,1071691.463,1017887.072,964082.6815,910278.2906,856473.8998,802669.5089,748865.118,695060.7271,688867.1409,682673.5547,676479.9686,670286.3824,664092.7963,657899.2101,651705.6239,645512.0378,639318.4516,633124.8654,626931.2793,620737.6931,614544.1069,608350.5208,602156.9346,595963.3485,589769.7623,583576.1761,577382.59,571189.0038
Solar PV,FOM(2012$/MW/yr),20958.49512,20343.9572,19731.75379,19121.78189,18513.94449,17908.1501,17304.3124,16702.34987,16102.18544,15503.74621,14906.96317,14830.51106,14754.33054,14678.41716,14602.76657,14527.37449,14452.23677,14377.34933,14302.70816,14228.30936,14154.1491,14080.22363,14006.5293,13933.0625,13859.81971,13786.7975,13713.99247,13641.40134,13569.02085,13496.84782,13424.87916
Solar PV,VOM(2012$/MWh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wind,CAPEX(2012$/MW),1246790.727,1207212.655,1167634.582,1128056.509,1088478.436,1048900.364,1009322.291,969744.2182,930166.1455,890588.0727,851010,842499.9,833989.8,825479.7,816969.6,808459.5,799949.4,791439.3,782929.2,774419.1,765909,757398.9,748888.8,740378.7,731868.6,723358.5,714848.4,706338.3,697828.2,689318.1,680808
Wind,FOM(2012$/MW/yr),38189.58273,37859.76545,37529.94818,37200.13091,36870.31364,36540.49636,36210.67909,35880.86182,35551.04455,35221.22727,34891.41,34629.72443,34368.03885,34106.35328,33844.6677,33582.98213,33321.29655,33059.61098,32797.9254,32536.23983,32274.55425,32012.86868,31751.1831,31489.49753,31227.81195,30966.12638,30704.4408,30442.75523,30181.06965,29919.38408,29657.6985
Wind,VOM(2012$/MWh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal Steam,Heat Rate (Btu/kWh),8473,8473,8473,8473,8473,8473,8300,8126,7953,7780,7607,7433,7260,7087,7087,7087,7087,7087,7087,7087,7087,7087,7087,7087,7087,7087,7087,7087,7087,7087,7087
Coal Steam,CAPEX(2012$/MW),2787784.295,2779203.197,2770622.099,2752387.265,2752387.265,2736297.706,2707336.499,2678375.292,2648341.448,2618307.605,2585055.849,2556094.642,2521770.249,2486373.219,2469211.022,2452048.826,2433813.992,2416651.796,2399489.599,2384472.677,2367310.481,2348003.01,2331913.45,2315823.891,2299734.332,2285790.047,2269700.488,2251465.654,2233230.82,2216068.624,2177453.682
Coal Steam,FOM(2012$/MW/yr),64318.44,64318.44,64318.44,64318.44,64318.44,63960.12,63601.8,63243.48,62885.16,62526.84,62168.52,61810.2,61451.88,61093.56,61093.56,61093.56,61093.56,61093.56,61093.56,61093.56,61093.56,61093.56,61093.56,61093.56,61093.56,61093.56,61093.56,61093.56,61093.56,61093.56,61093.56
Coal Steam,VOM(2012$/MWh),7.040988,7.040988,7.040988,7.040988,7.040988,6.98724,6.94245,6.888702,6.834954,6.790164,6.736416,6.682668,6.637878,6.58413,6.58413,6.58413,6.58413,6.58413,6.58413,6.58413,6.58413,6.58413,6.58413,6.58413,6.58413,6.58413,6.58413,6.58413,6.58413,6.58413,6.58413
