,Plant Name,UniqueID_Final,ORIS Plant Code,Boiler/Generator/Committed Unit,Unit ID,CAMD Database UnitID,PlantType,Combustion Turbine/IC Engine,Region Name,State Name,State Code,County,County Code,FIPS5,Capacity (MW),Heat Rate (Btu/kWh),On Line Year,Retirement Year,Firing,Bottom,Cogen?,Modeled Fuels,Wet/DryScrubber,Scrubber_Online_Year,Scrubber Efficiency,NOx Comb Control,NOx Post-Comb Control,SCR_Online_Year,SNCR_Online_Year,PM Control,FlueGasConditioning_Flag,Mercury_Controls,ACI_Online_Year,Mercury_Controls Efficiency,SO2 Permit Rate (lbs/mmBtu),Mode 1 NOx Rate (lbs/mmBtu),Mode 2 NOx Rate (lbs/mmBtu),Mode 3 NOx Rate  (lbs/mmBtu),Mode 4 NOx Rate  (lbs/mmBtu),Hg EMF for BIT,Hg EMF for SUB,Hg EMF for LIG,HCL Removal,DSI Unit,DSI Online Year,CCS,CCS Removal,C2G,C2G Online Year,BART Affected Unit,FuelType,Plant Code_x,Latitude,Longitude,Plant Code_y,Generator ID,Nameplate Energy Capacity (MWh),Maximum Charge Rate (MW),Maximum Discharge Rate (MW),Technology,Efficiency,Minimum Energy Capacity (MWh),FuelPrice($/MMBtu),CO2EmRate(lb/MMBtu),geometry,index_right,OBJECTID,PCA_REG,Shape_Leng,Shape_Area,PCA_Code,RTO_Code,region,FuelType2,hrGroup,MinDownTime(hrs),RampRate(MW/hr),StartCost($),MinLoad(MWh),RandOpCostAdder($/MWh),FOM(2012$/MW/yr),VOM(2012$/MWh),OpCost($/MWh),RegOfferElig,RegOfferCost($/MW),FlexOfferElig,ContOfferElig,YearAddedCE,Retired,YearRetiredByCE,YearRetiredByAge,GAMS Symbol,DataSource,ATBTechnologyType,ThermalOrRenewableOrStorage,CAPEX(2012$/MW),NSPSCompliant,NOxEmRate(lb/MMBtu),SO2EmRate(lb/MMBtu),Lifetime(years),SO2 Scrubber,CoalType,ECAPEX(2012$/MWH),PlantCategory,Max Zonal Cap,Variable Weight
0,Nacogdoches Power,55708_B_BLR1,55708,B,BLR1,9227.0,Biomass,,ERC_REST,Texas,48.0,Nacogdoches,347.0,48347.0,100.0,15413.0,2012.0,9999.0,FBC,,N,Biomass,,,0.888,CF,SNCR,,2012.0,B,,,,,0.046,0.07362,0.07362,0.07362,0.07362,,,,,,,,,,,,Biomass,55708.0,31.832132,-94.90064,,,,,,,,,0.0,91.9,POINT (-94.90064 31.832132),65.0,66.0,66.0,15.9340527498,3.27567832348,p66,rto13,p64,Biomass,,4.0,100.0,10208.98176967541,40.0,0.0,105630.0,5.26,5.26,0,0.0,1,1,0,False,False,False,55708+BLR1,,,,,,,,,,,,,,
2,Whirlwind Energy Center,56673_G_WEC,56673,G,WEC,,Onshore Wind,,ERC_PHDL,Texas,48.0,Floyd,153.0,48153.0,57.0,0.0,2007.0,9999.0,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,56673.0,34.105,-101.0986,,,,,,,,,0.0,0.0,POINT (-101.0986 34.105),47.0,48.0,48.0,15.9627257016,8.88067499736,p48,rto8,p60,Wind,,0.0,57.0,5.819119608714985,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,0,False,False,False,56673+WEC,,,,,,,,,,,,,,
3,Pattern Panhandle Wind LLC,58242_G_1,58242,G,1,,Onshore Wind,,ERC_PHDL,Texas,48.0,Carson,65.0,48065.0,218.0,0.0,2014.0,9999.0,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,58242.0,35.4275,-101.253056,,,,,,,,,0.0,0.0,POINT (-101.253056 35.4275),47.0,48.0,48.0,15.9627257016,8.88067499736,p48,rto8,p60,Wind,,0.0,218.0,22.255580257892394,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,0,False,False,False,58242+1,,,,,,,,,,,,,,
4,"Grandview Wind Farm, LLC",58596_G_GRVWI,58596,G,GRVWI,,Onshore Wind,,ERC_PHDL,Texas,48.0,Carson,65.0,48065.0,200.6,0.0,2014.0,9999.0,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,58596.0,35.238333,-101.310833,,,,,,,,,0.0,0.0,POINT (-101.310833 35.238333),47.0,48.0,48.0,15.9627257016,8.88067499736,p48,rto8,p60,Wind,,0.0,200.6,20.479217429968877,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,0,False,False,False,58596+GRVWI,,,,,,,,,,,,,,
5,Route 66 Wind Plant,58681_G_RT661,58681,G,RT661,,Onshore Wind,,ERC_PHDL,Texas,48.0,Carson,65.0,48065.0,150.0,0.0,2015.0,9999.0,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,58681.0,35.205278,-101.434167,,,,,,,,,0.0,0.0,POINT (-101.434167 35.205278),47.0,48.0,48.0,15.9627257016,8.88067499736,p48,rto8,p60,Wind,,0.0,150.0,15.313472654513117,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,0,False,False,False,58681+RT661,,,,,,,,,,,,,,
6,Pattern Panhandle Wind 2 LLC,58720_G_1,58720,G,1,,Onshore Wind,,ERC_PHDL,Texas,48.0,Carson,65.0,48065.0,181.7,0.0,2014.0,9999.0,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,58720.0,35.442778,-101.372778,,,,,,,,,0.0,0.0,POINT (-101.372778 35.442778),47.0,48.0,48.0,15.9627257016,8.88067499736,p48,rto8,p60,Wind,,0.0,181.7,18.54971987550022,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,0,False,False,False,58720+1,,,,,,,,,,,,,,
7,Miami Wind Energy Center,58765_G_1,58765,G,1,,Onshore Wind,,ERC_PHDL,Texas,48.0,Roberts,393.0,48393.0,288.6,0.0,2014.0,9999.0,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,58765.0,35.653889,-100.538611,,,,,,,,,0.0,0.0,POINT (-100.538611 35.653889),47.0,48.0,48.0,15.9627257016,8.88067499736,p48,rto8,p60,Wind,,0.0,288.6,29.463121387283238,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,0,False,False,False,58765+1,,,,,,,,,,,,,,
8,Longhorn Wind,58772_G_GEN1,58772,G,GEN1,,Onshore Wind,,ERC_PHDL,Texas,48.0,Briscoe,45.0,48045.0,200.0,0.0,2015.0,9999.0,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,58772.0,34.311111,-101.251111,,,,,,,,,0.0,0.0,POINT (-101.251111 34.311111),47.0,48.0,48.0,15.9627257016,8.88067499736,p48,rto8,p60,Wind,,0.0,200.0,20.417963539350822,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,0,False,False,False,58772+GEN1,,,,,,,,,,,,,,
9,TX Hereford Wind,58773_G_GEN1,58773,G,GEN1,,Onshore Wind,,ERC_PHDL,Texas,48.0,Deaf Smith,117.0,48117.0,200.0,0.0,2014.0,9999.0,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,58773.0,34.748056,-102.174444,,,,,,,,,0.0,0.0,POINT (-102.174444 34.748056),47.0,48.0,48.0,15.9627257016,8.88067499736,p48,rto8,p60,Wind,,0.0,200.0,20.417963539350822,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,0,False,False,False,58773+GEN1,,,,,,,,,,,,,,
10,Spinning Spur Wind II,58774_G_GEN1,58774,G,GEN1,,Onshore Wind,,ERC_PHDL,Texas,48.0,Oldham,359.0,48359.0,161.0,0.0,2014.0,9999.0,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,58774.0,35.276944,-102.682778,,,,,,,,,0.0,0.0,POINT (-102.682778 35.276944),47.0,48.0,48.0,15.9627257016,8.88067499736,p48,rto8,p60,Wind,,0.0,161.0,16.436460649177413,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,0,False,False,False,58774+GEN1,,,,,,,,,,,,,,
