,p61,p62,p60,p63,p64,p65,p67
2050-01-10 00:00:00,7923.94228928284,7923.94228928284,7923.94228928284,8072.921136074349,8072.921136074349,8072.921136074349,8072.921136074349
2050-01-10 01:00:00,7923.94228928284,7923.94228928284,7923.94228928284,7923.94228928284,7923.94228928284,7923.94228928284,7923.94228928284
2050-01-10 02:00:00,6861.982965663197,6861.982965663197,6861.982965663197,6861.982965663197,6861.982965663197,6861.982965663197,6861.982965663197
2050-01-10 03:00:00,6861.982965663197,6861.982965663197,6861.982965663197,6861.982965663197,6861.982965663197,6861.982965663197,6861.982965663197
2050-01-10 04:00:00,6861.982965663197,6861.982965663197,6861.982965663197,6861.982965663197,6861.982965663197,6861.982965663197,6861.982965663197
2050-01-10 05:00:00,7923.94228928284,7923.94228928284,7923.94228928284,8072.921136074349,8072.921136074349,8072.921136074349,8072.921136074349
2050-01-10 06:00:00,7923.94228928284,7923.94228928284,7923.94228928284,8072.921136074349,8072.921136074349,8072.921136074349,8072.921136074349
2050-01-10 07:00:00,7923.94228928284,7923.94228928284,7923.94228928284,8072.921136074349,8072.921136074349,8072.921136074349,8072.921136074349
2050-01-10 08:00:00,3955.7313566764306,3955.7313566764306,3955.7313566764306,3955.7313566764306,3955.7313566764306,3955.7313566764306,3955.7313566764674
2050-01-10 09:00:00,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324
2050-01-10 10:00:00,5e-324,5e-324,5e-324,5e-324,5e-324,0.0,5e-324
2050-01-10 11:00:00,5e-324,5e-324,5e-324,5e-324,5e-324,0.0,5e-324
2050-01-10 12:00:00,5e-324,5e-324,5e-324,5e-324,5e-324,0.0,5e-324
2050-01-10 13:00:00,5e-324,5e-324,5e-324,5e-324,5e-324,0.0,5e-324
2050-01-10 14:00:00,5e-324,5e-324,5e-324,5e-324,5e-324,0.0,5e-324
2050-01-10 15:00:00,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324
2050-01-10 16:00:00,3882.731721748627,3882.731721748627,3882.731721748627,3882.731721748627,3882.731721748627,3882.731721748627,3882.731721748627
2050-01-10 17:00:00,5058.081947246197,5058.081947246197,5058.081947246197,5058.081947246197,5058.081947246197,5058.081947246197,5058.081947246197
2050-01-10 18:00:00,5058.081947246197,5058.081947246197,5058.081947246197,5058.081947246197,5058.081947246197,5058.081947246197,5058.081947246197
2050-01-10 19:00:00,5058.081947246197,5058.081947246197,5058.081947246197,5058.081947246197,5058.081947246197,5058.081947246197,5058.081947246197
2050-01-10 20:00:00,5058.081947246197,5058.081947246197,5058.081947246197,5058.081947246197,5058.081947246197,5058.081947246197,5058.081947246197
2050-01-10 21:00:00,5058.081947246197,5058.081947246197,5058.081947246197,5058.081947246197,5058.081947246197,5058.081947246197,5058.081947246197
2050-01-10 22:00:00,5058.081947246197,5058.081947246197,5058.081947246197,5058.081947246197,5058.081947246197,5058.081947246197,5058.081947246197
2050-01-10 23:00:00,3955.7313566764306,3955.7313566764306,3955.7313566764306,3955.7313566764306,3955.7313566764306,3955.7313566764306,3955.7313566764306
2050-01-11 00:00:00,3955.7313566764306,3955.7313566764306,3955.7313566764306,3955.7313566764306,3955.7313566764306,3955.7313566764306,3955.7313566764306
2050-01-11 01:00:00,3955.7313566764306,3955.7313566764306,3955.7313566764306,3955.7313566764306,3955.7313566764306,3955.7313566764306,3955.7313566764306
2050-01-11 02:00:00,3955.7313566764306,3955.7313566764306,3955.7313566764306,3955.7313566764306,3955.7313566764306,3955.7313566764306,3955.7313566764306
2050-01-11 03:00:00,3955.7313566764306,3955.7313566764306,3955.7313566764306,3955.7313566764306,3955.7313566764306,3955.7313566764306,3955.7313566764306
2050-01-11 04:00:00,3955.7313566764306,3955.7313566764306,3955.7313566764306,3955.7313566764306,3955.7313566764306,3955.7313566764306,3955.7313566764306
2050-01-11 05:00:00,3955.7313566764306,3955.7313566764306,3955.7313566764306,3955.7313566764306,3955.7313566764306,3955.7313566764306,3955.7313566764306
2050-01-11 06:00:00,3955.7313566764674,3955.7313566764674,3955.7313566764674,3955.7313566764674,3955.7313566764306,3955.7313566764306,3955.7313566764674
2050-01-11 07:00:00,3955.7313566764306,3955.7313566764306,3955.7313566764306,3955.7313566764306,3955.7313566764306,3955.7313566764306,3955.7313566764306
2050-01-11 08:00:00,3955.7313566764306,3955.7313566764306,3955.7313566764306,3955.7313566764306,3955.7313566764306,3955.7313566764306,3955.7313566764306
2050-01-11 09:00:00,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324
2050-01-11 10:00:00,5e-324,0.0,5e-324,5e-324,5e-324,5e-324,5e-324
2050-01-11 11:00:00,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324
2050-01-11 12:00:00,5e-324,5e-324,5e-324,5e-324,5e-324,0.0,5e-324
2050-01-11 13:00:00,5e-324,5e-324,5e-324,5e-324,5e-324,0.0,5e-324
2050-01-11 14:00:00,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324
2050-01-11 15:00:00,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324
2050-01-11 16:00:00,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324
