,p60,p61,p62,p63,p64,p65,p67
2050-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0
2050-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0
2050-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0
2050-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0
2050-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0
2050-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0
2050-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0
2050-01-01 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0
2050-01-01 08:00:00,16.52120128273964,543.1762511794943,18.926797807216644,243.84066922759746,965.0857491167233,4906.517973537187,0
2050-01-01 09:00:00,72.79355823993683,1524.274742959336,62.92889267206192,2946.6063555586315,2511.85729066841,11301.459937823765,0
2050-01-01 10:00:00,120.56779861450195,2115.052297932809,94.44054365158081,5211.951801244137,3600.2743468004855,14560.483897987653,0
2050-01-01 11:00:00,146.76319360733032,2492.5399040534317,111.71369254589081,6335.021540946027,4233.561927239956,16474.77990627802,0
2050-01-01 12:00:00,156.31990432739258,2618.3338409928515,118.75951588153839,6775.755636022369,4454.6393720038095,17099.370445644854,0
2050-01-01 13:00:00,154.47059869766235,2569.7636953965452,116.18781387805939,6672.488487211288,4361.405571726864,16238.441180734333,0
2050-01-01 14:00:00,142.23055839538574,2349.075099042607,106.54149055480957,6061.6520687820175,3962.3973930666725,14510.193871933645,0
2050-01-01 15:00:00,117.89111495018005,1965.8558084098618,89.58156108856201,5016.519620864155,3276.7228374435094,11555.511171192267,0
2050-01-01 16:00:00,80.0740897655487,1385.3591596570006,64.33885395526886,3265.3300306370916,2205.9951049227884,6925.557432647297,0
2050-01-01 17:00:00,14.363786578178406,378.0081409131266,18.66069920361042,27.659427075262123,433.70678338400285,1861.386666774764,0
2050-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0
2050-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0
2050-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0
2050-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0
2050-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0
2050-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0
2050-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0
2050-01-02 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0
2050-01-02 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0
2050-01-02 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0
2050-01-02 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0
2050-01-02 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0
2050-01-02 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0
2050-01-02 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0
2050-01-02 08:00:00,16.548681259155273,533.5258120616211,18.16350147128105,242.2173903344198,955.4554906517365,4713.652183433961,0
2050-01-02 09:00:00,70.7448959350586,1520.412684724979,62.777066230773926,2872.5289880726705,2532.5693802364376,11243.193947334834,0
2050-01-02 10:00:00,119.48216557502747,2108.4996044453055,94.78276669979095,5160.088566020611,3600.6350909284474,14480.113088220887,0
