,p61,p62,p60,p63,p64,p65,p67
2050-01-16 00:00:00,1046.937691,751.668497,440.01853700000004,14468.5397,4743.9286,6787.34105,8827.88213
2050-01-16 01:00:00,1010.652599,725.617221,424.768597,13967.0847,4579.5025,6552.110110000001,8521.932060000001
2050-01-16 02:00:00,993.674164,713.427716,417.632281,13732.43504,4502.57664,6442.02779,8378.7734
2050-01-16 03:00:00,991.77295,712.0622179999998,416.83262,13706.1645,4493.96112,6429.72384,8362.73774
2050-01-16 04:00:00,1013.631546,727.755436,426.02018200000003,14008.23819,4593.00056,6571.42097,8547.039279999999
2050-01-16 05:00:00,1078.1270539999996,774.060354,453.126679,14899.5607,4885.2493,6989.542930000001,9090.88379
2050-01-16 06:00:00,1174.64377,843.35687,493.692123,16233.4101,5322.58983,7615.262479999998,9904.707
2050-01-16 07:00:00,1226.50076,880.5894300000001,515.487322,16950.0678,5557.56528,7951.466249999998,10341.9775
2050-01-16 08:00:00,1252.18582,899.03088,526.282472,17305.019399999994,5673.9529299999995,8117.977309999998,10558.5614
2050-01-16 09:00:00,1299.57954,933.05815,546.202416,17960.0075,5888.70918,8425.24393,10958.1885
2050-01-16 10:00:00,1340.65941,962.5519800000001,563.467121,18527.7182,6074.84581,8691.55438,11304.5852
2050-01-16 11:00:00,1353.66762,971.89193,568.934761,18707.5075,6133.7864,8775.889000000001,11414.2747
2050-01-16 12:00:00,1352.80054,971.26829,568.569589,18695.5132,6129.85936,8770.2663,11406.9595
2050-01-16 13:00:00,1351.3002800000004,970.19109,567.939523,18674.7611,6123.055350000001,8760.5444,11394.2957
2050-01-16 14:00:00,1341.5339800000004,963.18078,563.83547,18539.8329,6078.813310000001,8697.2339,11311.9623
2050-01-16 15:00:00,1329.43543,954.49272,558.749731,18372.6085,6023.98322,8618.7973,11209.9333
2050-01-16 16:00:00,1323.90004,950.51904,556.423016,18296.1088,5998.902270000001,8582.9113,11163.2733
2050-01-16 17:00:00,1356.5105800000001,973.93295,570.1300239999998,18746.7902,6146.68007,8794.3222,11438.2505
2050-01-16 18:00:00,1436.78753,1031.56988,603.8694,19856.223,6510.42818,9314.7757,12115.1569
2050-01-16 19:00:00,1429.04334,1026.00789,600.614592,19749.1734,6475.33604,9264.5565,12049.845
2050-01-16 20:00:00,1395.61079,1002.00525,586.562053,19287.1397,6323.85205,9047.8093,11767.9264
2050-01-16 21:00:00,1339.1671,961.479725,562.840122,18507.0961,6068.08427,8681.87127,11291.99593
2050-01-16 22:00:00,1241.0703210000001,891.0492710000002,521.6105610000002,17151.4038,5623.58044,8045.9115900000015,10464.82525
2050-01-16 23:00:00,1134.625362,814.626439,476.871999,15680.3552,5141.259450000001,7355.82655,9567.28022
