,p61,p62,p60,p63,p64,p65,p67
2050-01-01 00:00:00,1086.211187,779.8663190000002,456.525866,15011.2917,4921.88046,7041.967430000002,9159.04806
2050-01-01 01:00:00,1066.372345,765.6219120000003,448.186439,14737.1202,4831.99971,6913.342809999999,8991.77834
2050-01-01 02:00:00,1043.368728,749.1048549999997,438.518688,14419.2065,4727.7561700000015,6764.22088,8797.78257
2050-01-01 03:00:00,1029.863096,739.4100540000003,432.842399,14232.567,4666.55652,6676.64931,8683.90839
2050-01-01 04:00:00,1030.592531,739.933934,433.149612,14242.64388,4669.8595,6681.37944,8690.05948
2050-01-01 05:00:00,1048.195233,752.570709,440.546006,14485.8976,4749.61183,6795.5011600000025,8838.488589999999
2050-01-01 06:00:00,1082.32456,777.07583,454.891677,14957.5675,4904.2696,7016.7755,9126.2819
2050-01-01 07:00:00,1108.14551,795.61385,465.744555,15314.4309,5021.27815,7184.171100000001,9344.0023
2050-01-01 08:00:00,1142.46593,820.2545200000002,480.168599,15788.7255,5176.786270000001,7406.6590000000015,9633.398
2050-01-01 09:00:00,1173.45988,842.5069699999998,493.194654,16217.0359,5317.226220000001,7607.5832,9894.7334
2050-01-01 10:00:00,1183.76236,849.90395,497.524645,16359.4223,5363.90951,7674.3782,9981.6061
2050-01-01 11:00:00,1182.14158,848.74006,496.843039,16337.0189,5356.5689299999985,7663.8707,9967.9226
2050-01-01 12:00:00,1175.3464900000001,843.86193,493.988012,16243.1209,5325.78211,7619.8181,9910.64
2050-01-01 13:00:00,1158.86294,832.0284800000003,487.05937400000005,16015.3221,5251.0859,7512.9605,9771.6548
2050-01-01 14:00:00,1138.38987,817.32963,478.455541,15732.3947,5158.331770000002,7380.2351,9599.0343
2050-01-01 15:00:00,1128.28934,810.0767,474.209416,15592.7846,5112.53821,7314.7464,9513.8422
2050-01-01 16:00:00,1133.81512,814.04422,476.532323,15669.1589,5137.59327,7350.5795,9560.4462
2050-01-01 17:00:00,1206.7001,866.37315,507.16551,16676.4272,5467.84445,7823.1022,10175.0314
2050-01-01 18:00:00,1324.5896,951.01338,556.712204,18305.6412,6002.031700000001,8587.3738,11169.0809
2050-01-01 19:00:00,1342.18302,963.64669,564.107771,18548.7871,6081.74655,8701.442079999999,11317.4341
2050-01-01 20:00:00,1340.46851,962.415171,563.3869179999998,18525.0788,6073.97822,8690.32449,11302.9753
2050-01-01 21:00:00,1329.13384,954.277503,558.624053,18368.4488,6022.6188200000015,8616.85767,11207.4006
2050-01-01 22:00:00,1289.42939,925.77034,541.935264,17819.7224,5842.71649,8359.4369,10872.61658
2050-01-01 23:00:00,1235.932966,887.361001,519.4526050000002,17080.43,5600.30767,8012.6168,10421.51802
2050-01-02 00:00:00,1193.67484,857.020799,501.69071,16496.4185,5408.8264,7738.6500700000015,10065.19393
2050-01-02 01:00:00,1178.709411,846.277367,495.402005,16289.5925,5341.01076,7641.62592,9939.00392
2050-01-02 02:00:00,1179.246014,846.660858,495.626266,16297.01704,5343.45184,7645.11356,9943.53319
2050-01-02 03:00:00,1195.026885,857.9920070000002,502.259827,16515.104,5414.9541,7747.406609999999,10076.58577
2050-01-02 04:00:00,1234.020626,885.9875430000003,518.6477570000002,17053.99523,5591.65039,8000.2224799999985,10405.40516
2050-01-02 05:00:00,1311.8389630000001,941.860584,551.355052,18129.4388,5944.2543799999985,8504.7194,11061.560609999999
2050-01-02 06:00:00,1416.6892,1017.137854,595.420926,19578.4329,6419.3497,9184.46506,11945.6662
2050-01-02 07:00:00,1473.51349,1057.937151,619.303876,20363.7526,6676.84924,9552.86336,12424.8203
2050-01-02 08:00:00,1482.09348,1064.09696,622.910864,20482.3315,6715.7152300000025,9608.485,12497.1745
2050-01-02 09:00:00,1479.3360699999996,1062.11703,621.751049,20444.211,6703.22704,9590.60188,12473.9173
2050-01-02 10:00:00,1465.76953,1052.377145,616.0492949999998,20256.7309,6641.74992,9502.65666,12359.5221
2050-01-02 11:00:00,1427.83911,1025.14302,600.108933,19732.5375,6469.88946,9256.75235,12039.6917
2050-01-02 12:00:00,1385.76793,994.93899,582.4271719999998,19151.1277,6279.2505299999975,8984.01031,11684.944
2050-01-02 13:00:00,1338.40869,960.93618,562.521512,18496.6096,6064.64841,8676.96225,11285.595
2050-01-02 14:00:00,1298.87592,932.55265,545.906763,17950.302200000002,5885.52077,8420.6752,10952.2593
2050-01-02 15:00:00,1278.23539,917.7322800000001,537.230278,17665.0227,5791.98596,8286.8609,10778.222
2050-01-02 16:00:00,1286.39929,923.5959,540.6627179999998,17777.8686,5828.99135,8339.8001,10847.0565
2050-01-02 17:00:00,1378.38307,989.6365199999999,579.321998,19049.0641,6245.77743,8936.1209,11622.6761
2050-01-02 18:00:00,1513.1254,1086.37689,635.953802,20911.1785,6856.329790000002,9809.6696,12758.8311
2050-01-02 19:00:00,1541.55418,1106.78759,647.900821,21304.0612,6985.145590000001,9993.967,12998.5547
2050-01-02 20:00:00,1550.01136,1112.85975,651.4563559999998,21420.9208,7023.46355,10048.7894,13069.8513
2050-01-02 21:00:00,1528.52187,1097.430073,642.423847,21123.9452,6926.08927,9909.46964,12888.6548
2050-01-02 22:00:00,1462.621694,1050.117635,614.7278150000002,20213.2373,6627.48735,9482.25851,12332.98062
2050-01-02 23:00:00,1393.121582,1000.218628,585.5163349999998,19252.7478,6312.57172,9031.67911,11746.95011
2050-01-03 00:00:00,1354.16366,972.246144,569.1432629999998,18714.3454,6136.03507,8779.107759999999,11418.4565
2050-01-03 01:00:00,1345.2122630000001,965.8198189999999,565.38094,18590.63721,6095.472580000002,8721.074279999999,11342.97431
2050-01-03 02:00:00,1355.2604,973.034593,569.604461,18729.51032,6141.00557,8786.21676,11427.70118
2050-01-03 03:00:00,1383.894773,993.593897,581.638997,19125.2386,6270.7553,8971.86327,11669.1435
2050-01-03 04:00:00,1445.056542,1037.504948,607.343843,19970.46257,6547.89346,9368.36553,12184.85155
2050-01-03 05:00:00,1578.681803,1133.444895,663.5060129999998,21817.1261,7153.385109999998,10234.65968,13311.61343
2050-01-03 06:00:00,1768.5596899999996,1269.770176,743.309554,24441.2674,8013.75899,11465.64795,14912.6647
2050-01-03 07:00:00,1825.12542,1310.38323,767.0841839999998,25222.982000000004,8270.076710000001,11832.37658,15389.6551
2050-01-03 08:00:00,1752.62965,1258.33436,736.6142150000003,24221.1201,7941.5856,11362.38413,14778.3547
2050-01-03 09:00:00,1664.1567400000001,1194.81385,699.430446,22998.4045,7540.68617,10788.81465,14032.3389
2050-01-03 10:00:00,1586.03534,1138.72384,666.596305,21918.7931,7186.7071099999985,10282.35419,13373.6179
2050-01-03 11:00:00,1514.11426,1087.08678,636.368515,20924.8414,6860.80726,9816.075,12767.1782
2050-01-03 12:00:00,1452.3346099999999,1042.73081,610.4034419999998,20071.0507,6580.8799899999985,9415.55152,12246.2393
2050-01-03 13:00:00,1405.0213199999996,1008.76088,590.518238,19417.1886,6366.478700000002,9108.8116,11847.2884
2050-01-03 14:00:00,1364.72339,979.82847,573.5811480000001,18860.2744,6183.879590000001,8847.5655,11507.4889
2050-01-03 15:00:00,1342.0822,963.5723,564.0647829999998,18547.3845,6081.29975,8700.7798,11316.581
2050-01-03 16:00:00,1347.80201,967.68007,566.4698589999998,18626.432,6107.20619,8737.8592,11364.7977
2050-01-03 17:00:00,1433.68947,1029.34464,602.567174,19813.391,6496.38589,9294.6842,12089.021
2050-01-03 18:00:00,1565.50224,1123.9811,657.965874,21635.0136,7093.6692299999995,10149.2185,13200.4802
2050-01-03 19:00:00,1585.73265,1138.5066,666.468931,21914.6055,7185.32438,10280.3789,13371.0718
2050-01-03 20:00:00,1580.53023,1134.77134,664.2829230000001,21842.7063,7161.7586900000015,10246.65145,13327.2043
2050-01-03 21:00:00,1535.15463,1102.192232,645.2122390000002,21215.609,6956.15215,9952.475840000001,12944.5845
2050-01-03 22:00:00,1440.95073,1034.557779,605.61901,19913.7323,6529.28373,9341.7477,12150.23855
2050-01-03 23:00:00,1344.060239,964.9926320000001,564.896726,18574.7111,6090.2591200000015,8713.59888,11333.26187
2050-01-04 00:00:00,1284.5079119999998,922.237538,539.867574,17751.7398,5820.41147,8327.529279999999,10831.11079
2050-01-04 01:00:00,1260.038927,904.66791,529.583568,17413.5684,5709.52495,8168.8875,10624.77998
2050-01-04 02:00:00,1252.898053,899.5417880000001,526.5816580000002,17314.8847,5677.188020000001,8122.594290000001,10564.58011
2050-01-04 03:00:00,1263.039486,906.822143,530.8440410000002,17455.02245,5723.126179999998,8188.340840000002,10650.07513
2050-01-04 04:00:00,1308.960492,939.79356,550.143951,18089.65135,5931.20885,8486.058140000001,11037.28713
2050-01-04 05:00:00,1424.581273,1022.8047,598.739385,19687.5145,6455.11627,9235.62634,12012.21148
2050-01-04 06:00:00,1600.0476099999996,1148.783776,672.48585,22112.4359,7250.19921,10373.18439,13491.7582
2050-01-04 07:00:00,1644.80048,1180.91676,691.2953739999997,22730.9282,7452.98226,10663.3282,13869.1428
2050-01-04 08:00:00,1577.63343,1132.69137,663.0645139999998,21802.6835,7148.63997,10227.87115,13302.7693
2050-01-04 09:00:00,1512.74714,1086.10501,635.794486,20905.9556,6854.61915,9807.21903,12755.6485
2050-01-04 10:00:00,1456.7656100000006,1045.91207,612.266393,20132.2953,6600.95555,9444.28926,12283.6021
2050-01-04 11:00:00,1406.62011,1009.90833,591.18981,19439.2772,6373.732300000002,9119.18587,11860.7767
2050-01-04 12:00:00,1368.58553,982.60204,575.2042730000003,18913.6538,6201.3902,8872.601200000001,11540.0498
2050-01-04 13:00:00,1342.29947,963.72898,564.156351,18550.3893,6082.27801,8702.1952,11318.4097
2050-01-04 14:00:00,1319.59201,947.4255,554.6127309999998,18236.5603,5979.38457,8554.9744,11126.9365
2050-01-04 15:00:00,1302.70056,935.29867,547.514025,18003.1367,5902.849,8445.459,10984.5115
2050-01-04 16:00:00,1305.04074,936.97888,548.497869,18035.4657,5913.4472700000015,8460.642,11004.2446
2050-01-04 17:00:00,1360.76558,976.98824,571.917693,18805.5866,6165.95729,8821.9145,11474.1239
2050-01-04 18:00:00,1462.2840199999996,1049.87416,614.585437,20208.5485,6625.96184,9480.0591,12330.128
2050-01-04 19:00:00,1467.72261,1053.77946,616.870544,20283.7117,6650.59961,9515.319,12375.9951
2050-01-04 20:00:00,1454.64779,1044.39259,611.375804,20103.0319,6591.36298,9430.54832,12265.7387
2050-01-04 21:00:00,1409.8442,1012.224721,592.544485,19483.8635,6388.34811,9140.09394,11887.9634
2050-01-04 22:00:00,1327.1372039999999,952.843697,557.783559,18340.8589,6013.58389,8603.8932,11190.57519
2050-01-04 23:00:00,1237.607834,888.5643560000002,520.154589,17103.5702,5607.90175,8023.479440000001,10435.63705
2050-01-05 00:00:00,1184.45321,850.4001300000001,497.815595,16368.9729,5367.038479999998,7678.86127,9987.43919
2050-01-05 01:00:00,1165.212366,836.5851769999998,489.727493,16103.0508,5279.84652,7554.1188200000015,9825.18317
2050-01-05 02:00:00,1159.690368,832.621375,487.406941,16026.7489,5254.83722,7518.32642,9778.62615
2050-01-05 03:00:00,1172.340981,841.7045210000001,492.725158,16201.6031,5312.15606,7600.35135,9885.31032
2050-01-05 04:00:00,1218.230435,874.6506130000001,512.011607,16835.758830000002,5520.08921,7897.837009999998,10272.23175
2050-01-05 05:00:00,1334.715986,958.284587,560.968246,18445.5847,6047.92219,8653.021490000001,11254.46047
2050-01-05 06:00:00,1513.03931,1086.31491,635.9172639999998,20909.9974,6855.94902,9809.11044,12758.1183
2050-01-05 07:00:00,1567.07705,1125.11182,658.6292950000002,21656.7873,7100.79273,10159.42482,13213.753
2050-01-05 08:00:00,1510.39532,1084.4164,634.8056019999998,20873.4562,6843.96712,9791.9675,12735.8197
2050-01-05 09:00:00,1460.67125,1048.71586,613.907011,20186.2722,6618.64543,9469.59797,12316.5303
2050-01-05 10:00:00,1421.41504,1020.53172,597.407233,19643.7563,6440.76676,9215.10226,11985.5183
2050-01-05 11:00:00,1384.43302,993.98047,581.865237,19132.6772,6273.19124,8975.3488,11673.6934
