,r,rr,AC,DC,Project(s),Notes,rnum,rrnum,GAMS Symbol
0,p60,p61,2473.029955610154,0,,,60,61,p60p61
1,p60,p62,2303.0990604985896,0,,,60,62,p60p62
2,p60,p63,2003.0,0,,,60,63,p60p63
3,p61,p62,832.0,0,,,61,62,p61p62
4,p61,p63,456.30214515209536,0,,,61,63,p61p63
5,p61,p64,239.5630641054244,0,,,61,64,p61p64
6,p61,p65,473.0715198580642,0,,,61,65,p61p65
7,p63,p64,4440.095775629289,0,,,63,64,p63p64
8,p63,p67,2149.172521523985,0,,,63,67,p63p67
9,p64,p65,6298.05173605474,0,,,64,65,p64p65
10,p64,p67,2207.1851609195023,0,,,64,67,p64p67
11,p65,p67,6360.050346540246,0,,,65,67,p65p67
12,p61,p60,2473.0,0,,,60,61,p61p60
13,p62,p60,2303.0,0,,,60,62,p62p60
14,p63,p60,2004.4382729919284,0,,,60,63,p63p60
15,p62,p61,834.6445235167646,0,,,61,62,p62p61
16,p63,p61,456.0,0,,,61,63,p63p61
17,p64,p61,238.0,0,,,61,64,p64p61
18,p65,p61,466.0,0,,,61,65,p65p61
19,p64,p63,4440.0,0,,,63,64,p64p63
20,p67,p63,2138.0,0,,,63,67,p67p63
21,p65,p64,6298.0,0,,,64,65,p65p64
22,p67,p64,2207.0,0,,,64,67,p67p64
23,p67,p65,6360.0,0,,,65,67,p67p65
