,windlat26.0lon-97.5p65,windlat27.0lon-99.375p65,windlat27.5lon-99.375p65,windlat28.0lon-99.375p65,windlat28.5lon-100.0p65,windlat28.5lon-97.5p65,windlat29.0lon-99.375p65,windlat29.0lon-96.875p65,windlat29.5lon-98.75p65,windlat29.5lon-96.25p65,solarlat26.0lon-97.5p65,solarlat27.0lon-99.375p65,solarlat27.5lon-99.375p65,solarlat28.0lon-99.375p65,solarlat28.5lon-100.0p65,solarlat28.5lon-97.5p65,solarlat29.0lon-99.375p65,solarlat29.0lon-96.875p65,solarlat29.5lon-98.75p65,solarlat29.5lon-96.25p65,windlat29.5lon-103.125p61,windlat30.0lon-103.75p61,windlat30.0lon-101.25p61,windlat30.5lon-103.125p61,windlat30.5lon-100.625p61,windlat31.0lon-105.0p61,windlat31.0lon-102.5p61,windlat31.5lon-105.625p61,windlat31.5lon-100.625p61,windlat32.0lon-104.375p61,windlat32.0lon-99.375p61,windlat32.5lon-100.0p61,solarlat29.5lon-103.125p61,solarlat30.0lon-103.75p61,solarlat30.0lon-101.25p61,solarlat30.5lon-103.125p61,solarlat30.5lon-100.625p61,solarlat31.0lon-105.0p61,solarlat31.0lon-102.5p61,solarlat31.5lon-105.625p61,solarlat31.5lon-100.625p61,solarlat32.0lon-104.375p61,solarlat32.0lon-99.375p61,solarlat32.5lon-100.0p61,windlat30.0lon-98.75p64,windlat30.0lon-96.25p64,windlat30.5lon-98.125p64,windlat31.0lon-100.0p64,solarlat30.0lon-98.75p64,solarlat30.0lon-96.25p64,solarlat30.5lon-98.125p64,solarlat31.0lon-100.0p64,windlat31.0lon-97.5p63,windlat31.5lon-98.125p63,windlat31.5lon-95.625p63,windlat32.0lon-96.875p63,windlat32.5lon-97.5p63,windlat32.5lon-95.0p63,windlat33.0lon-97.5p63,windlat33.5lon-98.75p63,windlat33.5lon-96.25p63,windlat34.0lon-98.125p63,solarlat31.0lon-97.5p63,solarlat31.5lon-98.125p63,solarlat31.5lon-95.625p63,solarlat32.0lon-96.875p63,solarlat32.5lon-97.5p63,solarlat32.5lon-95.0p63,solarlat33.0lon-98.75p63,solarlat33.0lon-96.25p63,solarlat33.5lon-97.5p63,solarlat33.5lon-95.0p63,solarlat34.0lon-98.75p63,windlat31.5lon-103.125p62,windlat32.0lon-101.875p62,windlat32.5lon-102.5p62,solarlat31.5lon-103.125p62,solarlat32.0lon-101.875p62,solarlat32.5lon-102.5p62,windlat33.0lon-100.0p60,windlat33.5lon-101.25p60,windlat34.0lon-100.625p60,windlat34.5lon-100.625p60,solarlat33.5lon-100.0p60,solarlat34.5lon-100.0p60
2050-01-16 00:00:00,0.283538,0.0,0.07554495,0.49519938,0.26044464,0.10793382,0.25153202,0.24923065,0.30521426,0.15095797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.192294,0.026179425,0.29217952,0.4855962,0.12830949,0.005615966,0.24598217,0.24437489,0.4401479,0.059031047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37359515,0.0187514,0.43194446,0.5029343,0.0,0.0,0.0,0.0,0.41999036,0.5952831,0.6747609,0.24804364,0.5888164,0.7219615,0.22483735,0.0,0.13477969,0.12951748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5122826,0.42878565,0.38418496,0.0,0.0,0.0,0.012190922,0.104646854,0.07097356,0.265424,0.0,0.0
2050-01-16 01:00:00,0.29466212,0.0,0.06837898,0.55318433,0.20452341,0.15080722,0.20772195,0.35962394,0.25757894,0.27874222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19859894,0.047665305,0.2896092,0.35348165,0.1967122,0.0,0.20544054,0.19266488,0.41034544,0.11873839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39331755,0.1010003,0.43994996,0.45672014,0.0,0.0,0.0,0.0,0.44408813,0.45723575,0.73773855,0.21890382,0.5534545,0.73531735,0.2555648,0.0036277005,0.1480871,0.1550716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5822455,0.5952623,0.60763633,0.0,0.0,0.0,0.017275766,0.04188426,0.040345345,0.19988875,0.0,0.0
2050-01-16 02:00:00,0.2519898,0.0043033473,0.09059086,0.54511875,0.18713428,0.19673213,0.184923,0.45820624,0.23673426,0.48749965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21055105,0.04213448,0.29001874,0.24324037,0.2330939,0.0,0.24091978,0.123670034,0.40076557,0.1808471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41717014,0.21036252,0.47090983,0.42966643,0.0,0.0,0.0,0.0,0.48326764,0.3565703,0.7652518,0.17009328,0.47414404,0.7399001,0.2316837,0.012954462,0.19533724,0.23160231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34275994,0.6805186,0.69437444,0.0,0.0,0.0,0.037221346,0.0,0.019000577,0.1383806,0.0,0.0
2050-01-16 03:00:00,0.17782576,0.021340776,0.08660242,0.49392822,0.15793787,0.21155627,0.14775723,0.47779435,0.19086963,0.598629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005693095,0.0,0.23052613,0.016651586,0.29366377,0.15550037,0.124505,0.0030388676,0.29565316,0.057253033,0.38397172,0.2582268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41443747,0.24122775,0.49114928,0.4079181,0.0,0.0,0.0,0.0,0.50256354,0.26629534,0.751462,0.12831387,0.35372478,0.7419154,0.20607996,0.021499502,0.25988886,0.3129712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14398468,0.46438676,0.600903,0.0,0.0,0.0,0.12381986,0.0,0.003702977,0.0719638,0.0,0.0
2050-01-16 04:00:00,0.10269203,0.031837396,0.059965413,0.41458133,0.15684867,0.23894945,0.1324386,0.49657053,0.14819668,0.6499084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013239604,0.0,0.26322222,0.0060391785,0.3192474,0.080010876,0.04284324,0.04748398,0.23165552,0.01979778,0.37287244,0.21351641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38817847,0.25736693,0.49821803,0.43015623,0.0,0.0,0.0,0.0,0.5132331,0.23942716,0.75386655,0.11834238,0.3220122,0.7455513,0.19149458,0.038025912,0.3306392,0.3894463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15800081,0.26733953,0.38191307,0.0,0.0,0.0,0.18381253,0.0,0.0,0.024267944,0.0,0.0
2050-01-16 05:00:00,0.06359599,0.03456361,0.02308229,0.3355763,0.18870373,0.24266301,0.14609845,0.5030058,0.12436194,0.71626896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019471359,0.010163954,0.31329,0.05999365,0.3729394,0.04239217,0.121008985,0.06716618,0.14914837,0.00029772855,0.2478992,0.08920711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34959027,0.3357431,0.47923514,0.5024377,0.0,0.0,0.0,0.0,0.50748515,0.26691893,0.7567344,0.1523386,0.33575395,0.75075704,0.14622168,0.057971604,0.3652932,0.3644595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1609488,0.2277862,0.3609814,0.0,0.0,0.0,0.107925616,0.0,0.0,0.0046380563,0.0,0.0
2050-01-16 06:00:00,0.034740042,0.025889184,0.0090931095,0.27999514,0.23824687,0.20540161,0.19772136,0.43679523,0.12788205,0.732695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028375456,0.023557013,0.3619516,0.14476065,0.46145332,0.028958498,0.3062118,0.061670925,0.19633551,0.0,0.12750317,0.03087022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32611147,0.39257976,0.4633422,0.60638237,0.0,0.0,0.0,0.0,0.50998396,0.34326288,0.7524884,0.22833207,0.31252748,0.7688333,0.12237027,0.07589752,0.28059208,0.37267804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14060454,0.17329757,0.32231414,0.0,0.0,0.0,0.06363281,0.0,0.0,0.01725924,0.0,0.0
2050-01-16 07:00:00,0.010976085,0.012915181,0.01745885,0.25377744,0.2777374,0.16315846,0.2476891,0.37024963,0.161483,0.7406482,0.007950547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038963143,0.03346681,0.46576947,0.21753828,0.6018443,0.024190128,0.5401838,0.049049295,0.35709283,0.0,0.11379135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34549192,0.44815987,0.4876757,0.7186098,0.0,0.0,0.0,0.0,0.5446158,0.47295755,0.7655844,0.29844952,0.3180195,0.789588,0.13531144,0.05806271,0.18246704,0.3559836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19527467,0.24309047,0.30290493,0.0,0.0,0.0,0.031745788,0.0058211917,0.0,0.050229553,0.0,0.0
2050-01-16 08:00:00,0.0,0.00080972165,0.036826838,0.2357231,0.23625076,0.12892562,0.22921386,0.31034255,0.1850594,0.67365766,0.28412443,0.22596692,0.20949888,0.20289527,0.1639766,0.20848455,0.17068192,0.21601765,0.13675126,0.2226513,0.043313693,0.05826558,0.5162705,0.23431139,0.66127527,0.018424736,0.460601,0.03993282,0.76306355,0.0,0.1938423,0.0044080475,0.11862888,0.10465132,0.15315136,0.0762543,0.17929812,0.0073925676,0.07402655,0.002340805,0.09108202,0.0037021015,0.06326743,0.0019136447,0.37063462,0.42653784,0.53188497,0.7707009,0.086421706,0.22245622,0.13863114,0.18022288,0.6102336,0.61078984,0.79336107,0.41780946,0.5751814,0.7728211,0.14458595,0.043602847,0.14442085,0.3474171,0.18862185,0.20070793,0.121218644,0.21703255,0.12696381,0.24325958,0.005667406,0.13277423,0.008870307,0.08538205,0.0028730761,0.13542993,0.35771698,0.32469115,0.06339269,0.004655937,0.056393474,0.045893412,0.025677957,0.006034645,0.08721297,0.033867765,0.0
2050-01-16 09:00:00,0.0,0.0,0.0436464,0.14578126,0.116294764,0.07008878,0.12309489,0.20762996,0.11028933,0.49791688,0.5227927,0.45108673,0.45004025,0.45229313,0.42636877,0.41555223,0.34305185,0.42335626,0.23227729,0.42309704,0.010126243,0.03142886,0.5620346,0.12781796,0.5588182,0.002815411,0.2070641,0.027580943,0.74745315,0.0,0.22628489,0.063925765,0.40561816,0.38625747,0.4474206,0.15033568,0.4538737,0.3529725,0.096555494,0.32694232,0.413458,0.35275024,0.10150566,0.04034028,0.2229658,0.20716207,0.3037185,0.58713955,0.15200408,0.41931742,0.3519143,0.45878443,0.45869187,0.39683145,0.6840091,0.47928646,0.6563288,0.70179105,0.14697124,0.055344604,0.13030627,0.32578588,0.46716046,0.47224408,0.34975308,0.4625338,0.233355,0.5011482,0.048712496,0.2966783,0.20000795,0.24964145,0.07528759,0.108647935,0.2046496,0.22087376,0.16582072,0.13955908,0.19295363,0.052850917,0.032393225,0.017372206,0.1035559,0.24469437,0.026773952
