,windlat26.0lon-97.5p65,solarlat26.0lon-97.5p65
2050-01-01 00:00:00,0.028861232,0.0
2050-01-01 01:00:00,0.0005615156,0.0
2050-01-01 02:00:00,0.0,0.0
2050-01-01 03:00:00,0.0,0.0
2050-01-01 04:00:00,0.0,0.0
2050-01-01 05:00:00,0.086374484,0.0
2050-01-01 06:00:00,0.4566992,0.0
2050-01-01 07:00:00,0.5742685,0.001777202
2050-01-01 08:00:00,0.692346,0.21698134
2050-01-01 09:00:00,0.81139237,0.2517831
2050-01-01 10:00:00,0.82611704,0.25353736
2050-01-01 11:00:00,0.81767696,0.34199384
2050-01-01 12:00:00,0.7838858,0.3255024
2050-01-01 13:00:00,0.702039,0.25471935
2050-01-01 14:00:00,0.5865505,0.20015056
2050-01-01 15:00:00,0.45637307,0.15212093
2050-01-01 16:00:00,0.25085527,0.065113254
2050-01-01 17:00:00,0.088328145,0.004497798
2050-01-01 18:00:00,0.053264745,0.0
2050-01-01 19:00:00,0.06220868,0.0
2050-01-01 20:00:00,0.07917023,0.0
2050-01-01 21:00:00,0.12502389,0.0
2050-01-01 22:00:00,0.16908179,0.0
2050-01-01 23:00:00,0.19229819,0.0
2050-01-02 00:00:00,0.19448046,0.0
2050-01-02 01:00:00,0.20076765,0.0
2050-01-02 02:00:00,0.21021223,0.0
2050-01-02 03:00:00,0.20773561,0.0
2050-01-02 04:00:00,0.23663834,0.0
2050-01-02 05:00:00,0.3202987,0.0
2050-01-02 06:00:00,0.3484208,0.0
2050-01-02 07:00:00,0.38886923,0.00268019
2050-01-02 08:00:00,0.35835907,0.3004687
2050-01-02 09:00:00,0.38758418,0.5102169
2050-01-02 10:00:00,0.27850127,0.60964507
2050-01-02 11:00:00,0.16833963,0.56959903
2050-01-02 12:00:00,0.11614049,0.57379013
2050-01-02 13:00:00,0.08268729,0.57112056
2050-01-02 14:00:00,0.06369167,0.59457403
2050-01-02 15:00:00,0.050808378,0.47037166
2050-01-02 16:00:00,0.03364947,0.25082135
2050-01-02 17:00:00,0.014484568,0.039533548
2050-01-02 18:00:00,0.0,0.0
2050-01-02 19:00:00,0.0,0.0
2050-01-02 20:00:00,0.0,0.0
2050-01-02 21:00:00,0.0,0.0
2050-01-02 22:00:00,0.0,0.0
2050-01-02 23:00:00,0.0,0.0
2050-01-03 00:00:00,0.0,0.0
2050-01-03 01:00:00,0.0,0.0
2050-01-03 02:00:00,0.0,0.0
2050-01-03 03:00:00,0.0,0.0
2050-01-03 04:00:00,0.0,0.0
2050-01-03 05:00:00,0.0,0.0
2050-01-03 06:00:00,0.0,0.0
2050-01-03 07:00:00,0.0,0.004900925
2050-01-03 08:00:00,0.0,0.296385
2050-01-03 09:00:00,0.013069094,0.5682749
2050-01-03 10:00:00,0.09602156,0.7011675
2050-01-03 11:00:00,0.10623558,0.77015615
2050-01-03 12:00:00,0.10853978,0.77891487
