,r,rr,rCost,rrCost,Line Cost ($/mw-mile),GAMS Symbol
288,p60,p61,727.9029462999999,727.9029462999999,727.9029462999999,p60p61
289,p60,p62,727.9029462999999,727.9029462999999,727.9029462999999,p60p62
290,p60,p63,727.9029462999999,727.9029462999999,727.9029462999999,p60p63
291,p61,p60,727.9029462999999,727.9029462999999,727.9029462999999,p61p60
292,p61,p62,727.9029462999999,727.9029462999999,727.9029462999999,p61p62
293,p61,p63,727.9029462999999,727.9029462999999,727.9029462999999,p61p63
294,p61,p64,727.9029462999999,727.9029462999999,727.9029462999999,p61p64
295,p61,p65,727.9029462999999,727.9029462999999,727.9029462999999,p61p65
296,p62,p60,727.9029462999999,727.9029462999999,727.9029462999999,p62p60
297,p62,p61,727.9029462999999,727.9029462999999,727.9029462999999,p62p61
300,p63,p60,727.9029462999999,727.9029462999999,727.9029462999999,p63p60
301,p63,p61,727.9029462999999,727.9029462999999,727.9029462999999,p63p61
302,p63,p64,727.9029462999999,727.9029462999999,727.9029462999999,p63p64
303,p63,p67,727.9029462999999,727.9029462999999,727.9029462999999,p63p67
305,p64,p61,727.9029462999999,727.9029462999999,727.9029462999999,p64p61
306,p64,p63,727.9029462999999,727.9029462999999,727.9029462999999,p64p63
307,p64,p65,727.9029462999999,727.9029462999999,727.9029462999999,p64p65
308,p64,p67,727.9029462999999,727.9029462999999,727.9029462999999,p64p67
309,p65,p61,727.9029462999999,727.9029462999999,727.9029462999999,p65p61
310,p65,p64,727.9029462999999,727.9029462999999,727.9029462999999,p65p64
311,p65,p67,727.9029462999999,727.9029462999999,727.9029462999999,p65p67
315,p67,p63,727.9029462999999,727.9029462999999,727.9029462999999,p67p63
316,p67,p64,727.9029462999999,727.9029462999999,727.9029462999999,p67p64
317,p67,p65,727.9029462999999,727.9029462999999,727.9029462999999,p67p65
